Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite,Chrome 67.0.3396.79,,2018-08-27 22:48:39,2018-08-27 22:49:12,33.061s,PASSED
,,,,,,
Test Cases/DemoTest1,Chrome 67.0.3396.79,,2018-08-27 22:48:40,2018-08-27 22:49:12,32.569s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-08-27 22:48:40,2018-08-27 22:48:49,8.555s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-08-27 22:48:49,2018-08-27 22:48:50,1.584s,PASSED
waitForPageLoad,Chrome 67.0.3396.79,,2018-08-27 22:48:50,2018-08-27 22:48:51,0.707s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 22:48:51,2018-08-27 22:48:54,2.907s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 22:48:54,2018-08-27 22:48:54,0.049s,PASSED
setText,Chrome 67.0.3396.79,,2018-08-27 22:48:54,2018-08-27 22:48:54,0.470s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-08-27 22:48:54,2018-08-27 22:48:55,0.388s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 22:48:55,2018-08-27 22:48:55,0.237s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 22:48:55,2018-08-27 22:49:02,7.236s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 22:49:02,2018-08-27 22:49:02,0.046s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 22:49:02,2018-08-27 22:49:02,0.316s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-08-27 22:49:02,2018-08-27 22:49:03,0.195s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 22:49:03,2018-08-27 22:49:05,2.539s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 22:49:05,2018-08-27 22:49:11,5.490s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 22:49:11,2018-08-27 22:49:11,0.274s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-08-27 22:49:11,2018-08-27 22:49:12,1.160s,PASSED
